#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
001,Bulbasaur,Grass Poison,318,45,49,49,65,65,45
002,Ivysaur,Grass Poison,405,60,62,63,80,80,60
003,Venusaur,Grass Poison,525,80,82,83,100,100,80
003,Venusaur Mega Venusaur,Grass Poison,625,80,100,123,122,120,80
004,Charmander,Fire,309,39,52,43,60,50,65
005,Charmeleon,Fire,405,58,64,58,80,65,80
006,Charizard,Fire Flying,534,78,84,78,109,85,100
006,Charizard Mega Charizard X,Fire Dragon,634,78,130,111,130,85,100
006,Charizard Mega Charizard Y,Fire Flying,634,78,104,78,159,115,100
007,Squirtle,Water,314,44,48,65,50,64,43
008,Wartortle,Water,405,59,63,80,65,80,58
009,Blastoise,Water,530,79,83,100,85,105,78
009,Blastoise Mega Blastoise,Water,630,79,103,120,135,115,78
010,Caterpie,Bug,195,45,30,35,20,20,45
011,Metapod,Bug,205,50,20,55,25,25,30
012,Butterfree,Bug Flying,395,60,45,50,90,80,70
013,Weedle,Bug Poison,195,40,35,30,20,20,50
014,Kakuna,Bug Poison,205,45,25,50,25,25,35
015,Beedrill,Bug Poison,395,65,90,40,45,80,75
015,Beedrill Mega Beedrill,Bug Poison,495,65,150,40,15,80,145
016,Pidgey,Normal Flying,251,40,45,40,35,35,56
017,Pidgeotto,Normal Flying,349,63,60,55,50,50,71
018,Pidgeot,Normal Flying,479,83,80,75,70,70,101
018,Pidgeot Mega Pidgeot,Normal Flying,579,83,80,80,135,80,121
019,Rattata,Normal,253,30,56,35,25,35,72
019,Rattata Alolan Rattata,Dark Normal,253,30,56,35,25,35,72
020,Raticate,Normal,413,55,81,60,50,70,97
020,Raticate Alolan Raticate,Dark Normal,413,75,71,70,40,80,77
021,Spearow,Normal Flying,262,40,60,30,31,31,70
022,Fearow,Normal Flying,442,65,90,65,61,61,100
023,Ekans,Poison,288,35,60,44,40,54,55
024,Arbok,Poison,448,60,95,69,65,79,80
025,Pikachu,Electric,320,35,55,40,50,50,90
025,Pikachu Partner Pikachu,Electric,430,45,80,50,75,60,120
026,Raichu,Electric,485,60,90,55,90,80,110
026,Raichu Alolan Raichu,Electric Psychic,485,60,85,50,95,85,110
027,Sandshrew,Ground,300,50,75,85,20,30,40
027,Sandshrew Alolan Sandshrew,Ice Steel,300,50,75,90,10,35,40
028,Sandslash,Ground,450,75,100,110,45,55,65
028,Sandslash Alolan Sandslash,Ice Steel,450,75,100,120,25,65,65
029,Nidoran♀,Poison,275,55,47,52,40,40,41
030,Nidorina,Poison,365,70,62,67,55,55,56
031,Nidoqueen,Poison Ground,505,90,92,87,75,85,76
032,Nidoran♂,Poison,273,46,57,40,40,40,50
033,Nidorino,Poison,365,61,72,57,55,55,65
034,Nidoking,Poison Ground,505,81,102,77,85,75,85
035,Clefairy,Fairy,323,70,45,48,60,65,35
036,Clefable,Fairy,483,95,70,73,95,90,60
037,Vulpix,Fire,299,38,41,40,50,65,65
037,Vulpix Alolan Vulpix,Ice,299,38,41,40,50,65,65
038,Ninetales,Fire,505,73,76,75,81,100,100
038,Ninetales Alolan Ninetales,Ice Fairy,505,73,67,75,81,100,109
039,Jigglypuff,Normal Fairy,270,115,45,20,45,25,20
040,Wigglytuff,Normal Fairy,435,140,70,45,85,50,45
041,Zubat,Poison Flying,245,40,45,35,30,40,55
042,Golbat,Poison Flying,455,75,80,70,65,75,90
043,Oddish,Grass Poison,320,45,50,55,75,65,30
044,Gloom,Grass Poison,395,60,65,70,85,75,40
045,Vileplume,Grass Poison,490,75,80,85,110,90,50
046,Paras,Bug Grass,285,35,70,55,45,55,25
047,Parasect,Bug Grass,405,60,95,80,60,80,30
048,Venonat,Bug Poison,305,60,55,50,40,55,45
049,Venomoth,Bug Poison,450,70,65,60,90,75,90
